A/C,Source,G/F,units,0,20,40,50,60,65,70,75,80,85,90,95,100,105,110,115,120,125,130,135,140,145,150,155,160,165,170,175,180,185,190,195,200
Berfalke lV (26.2),IDA,26.2,m/s,,,,,,,0.91,0.85,0.87,0.92,0.97,1.03,1.12,1.22,1.32,1.45,1.59,1.74,1.89,2.05,2.21,2.38,2.56,2.77,,,,,,,,,
Bergfalke ll (24.3),IDA,24.3,m/s,,,,,1.11,0.95,0.91,0.94,0.96,1.02,1.1,1.2,1.32,1.46,1.61,1.78,1.96,2.16,2.36,2.59,2.86,3.13,3.42,3.73,,,,,,,,,
Blanik L13 (26.1),GB,26.1,knots,,,,,,,,,,,1.6,1.68,1.76,1.89,2.01,2.19,2.36,2.59,2.81,3.08,3.34,3.66,3.97,4.34,4.7,5.11,5.51,5.97,6.42,6.92,7.41,7.96,8.5
Calif A21S (39.2),IDA,39.2,m/s,,,,,,,,0.83,0.69,0.7,0.72,0.74,0.76,0.78,0.81,0.85,0.88,0.93,0.98,1.03,1.09,1.18,1.26,1.35,1.45,1.57,1.69,1.82,1.95,,,,
Cirrus (29),IDA,29,m/s,,,,,,,0.72,0.65,0.63,0.64,0.67,0.71,0.77,0.84,0.92,1.02,1.11,1.23,1.34,1.46,1.59,1.73,1.89,2.05,2.24,2.43,2.64,2.87,3.12,3.39,3.67,3.96,4.28
DG 100 (30),IDA,30,m/s,,,,,,,0.73,0.61,0.62,0.64,0.67,0.71,0.76,0.83,0.89,0.98,1.07,1.16,1.27,1.39,1.51,1.65,1.79,1.95,2.11,2.29,2.48,2.68,,,,,
DG 100 (30.25),IDA,30.25,m/s,,,,,,,0.75,0.62,0.62,0.64,0.66,0.71,0.77,0.84,0.92,1,1.1,1.2,1.3,1.43,1.55,1.7,1.85,2.01,2.17,2.34,,,,,,,
DG 100 (30.48),IDA,30.48,knots,,,,,,,1.4,1.17,1.21,1.25,1.28,1.36,1.47,1.59,1.7,1.89,2.08,2.23,2.46,2.68,2.91,3.17,3.44,3.74,4.08,4.42,4.76,5.14,,,,,
DG 100G (30.48),IDA,30.48,m/s,,,,,,,0.7,0.64,0.64,0.64,0.66,0.69,0.73,0.78,0.85,0.91,1.01,1.13,1.22,1.34,1.46,1.58,1.71,1.83,1.99,2.15,2.32,2.5,2.71,2.9,3.12,3.37,
DG 1000 18m (30),MD,30,m/s,,,,,,1.05,0.7,0.62,0.6,0.6,0.61,0.65,0.69,0.72,0.76,0.81,0.89,0.95,1.05,1.15,1.25,1.38,1.55,1.7,1.95,2.2,2.4,2.7,2.9,3.2,3.45,0,0
DG 1000 18m (36),MD,36,m/s,,,,,,,1.2,0.8,0.72,0.69,0.66,0.68,0.69,0.71,0.75,0.78,0.82,0.88,0.95,1.01,1.1,1.19,1.3,1.4,1.55,1.72,1.9,2.1,2.35,2.58,2.8,3.01,3.3
DG 1000 18m (45),MD,45,m/s,,,,,,,0,0,1.2,0.95,0.78,0.75,0.73,0.74,0.73,0.76,0.8,0.83,0.85,0.9,0.99,1.05,1.14,1.2,1.28,1.38,1.5,1.6,1.77,1.95,2.15,2.3,2.58
DG 1000 20m (28),MD,28,m/s,,,,,,0.65,0.55,0.51,0.5,0.52,0.55,0.58,0.6,0.65,0.7,0.78,0.85,0.93,1.04,1.13,1.25,1.41,1.6,1.8,2.02,2.23,2.49,2.73,3,3.27,0,0,0
DG 1000 20m (35),MD,35,m/s,,,,,,,1.05,0.67,0.6,0.58,0.57,0.58,0.61,0.63,0.65,0.7,0.75,0.82,0.88,0.96,1.05,1.15,1.23,1.36,1.5,1.67,1.87,2.08,2.3,2.52,2.77,3,3.25
DG 1000 20m (43),MD,43,m/s,,,,,,,,,0.77,0.7,0.65,0.62,0.61,0.62,0.65,0.68,0.7,0.75,0.8,0.85,0.9,1,1.06,1.16,1.25,1.35,1.48,1.6,1.77,1.96,2.16,2.39,2.6
DG 200 (34),IDA,34,m/s,,,,,,,0.69,0.67,0.65,0.64,0.65,0.68,0.7,0.73,0.78,0.84,0.89,0.97,1.06,1.14,1.24,1.35,1.46,1.56,1.7,1.83,1.94,2.05,2.18,2.31,2.45,,
DG 300 (33.2),IDA,33.2,m/s,,,,,,,0.69,0.63,0.6,0.6,0.62,0.65,0.69,0.75,0.8,0.87,0.95,1.02,1.1,1.2,1.29,1.41,1.53,1.67,1.84,2.03,2.24,2.48,2.68,2.94,3.2,3.45,
DG 303 (31),IDA,31,m/s,,,,,,,0.61,0.56,0.55,0.56,0.58,0.61,0.66,0.71,0.78,0.84,0.91,1,1.09,1.23,1.35,1.49,1.65,1.82,1.97,2.21,2.42,2.71,2.94,,,,
DG 303 (31),MD,31,m/s,,,,,,,0.58,0.53,0.52,0.53,0.55,0.58,0.63,0.68,0.74,0.8,0.87,0.95,1.04,1.17,1.29,1.42,1.57,1.73,1.88,2.1,2.3,2.58,2.8,,,,
DG 303 (40),MD,40,m/s,,,,,,,,0.75,0.63,0.58,0.58,0.6,0.63,0.66,0.67,0.71,0.76,0.81,0.85,0.93,1.03,1.1,1.2,1.32,1.43,1.57,1.69,1.85,2.03,2.23,2.43,2.71,2.9
DG 303 (51),MD,51,m/s,,,,,,,,,,0.73,0.65,0.63,0.63,0.65,0.67,0.7,0.73,0.78,0.81,0.86,0.92,0.97,1.04,1.11,1.18,1.27,1.35,1.47,1.57,1.72,1.85,2.05,2.25
DG 400/17 (38.4),IDA,38.4,m/s,,,,,,,,0.57,0.55,0.55,0.58,0.6,0.64,0.73,0.8,0.86,0.94,1.01,1.11,1.2,1.29,1.39,1.49,1.62,1.73,1.86,1.99,2.12,2.25,2.4,2.56,,
Diamant 16.5 (30.2),IDA,30.2,m/s,,,,,,,0.67,0.63,0.62,0.6,0.62,0.65,0.69,0.73,0.8,0.87,0.95,1.05,1.15,1.25,1.36,1.48,1.64,1.79,1.95,2.13,2.31,,,,,,
Discus A (29.67),IDA,29.67,m/s,,,,,,,0.6,0.57,0.56,0.56,0.59,0.62,0.66,0.71,0.77,0.83,0.91,1,1.09,1.19,1.28,1.39,1.51,1.65,1.85,2.09,2.33,2.55,2.77,2.99,3.21,3.43,
Discus A (H) (50),MD,50,m/s,,,,,,,,,,1.5,0.85,0.7,0.72,0.73,0.75,0.77,0.81,0.83,0.88,0.92,0.95,1.02,1.08,1.15,1.22,1.3,1.42,1.52,1.61,1.72,1.84,,
Discus A (L) (32.5),MD,32.5,m/s,,,,,,,0.8,0.66,0.63,0.62,0.63,0.66,0.67,0.71,0.75,0.8,0.87,0.94,1.04,1.14,1.24,1.37,1.48,1.58,1.75,1.94,2.15,2.38,2.67,2.87,3.16,,
Discus B (29.7),IDA,29.7,m/s,,,,,,,0.64,0.56,0.56,0.57,0.6,0.64,0.69,0.74,0.8,0.87,0.95,1.03,1.1,1.19,1.29,1.38,1.48,,,,,,,,,,
Elfe S-25 (28.6),IDA,28.6,m/s,,,,,,,,0.6,0.59,0.62,0.66,0.72,0.8,0.88,0.97,1.1,1.23,1.35,1.46,1.65,1.8,1.96,2.12,2.79,,,,,,,,,
Elfe S4D (27),IDA,27,m/s,,,,,,,0.79,0.71,0.69,0.7,0.72,0.77,0.82,0.88,0.94,1.03,1.13,1.23,1.34,1.47,1.6,1.74,1.89,2.05,2.21,2.38,2.58,2.76,2.96,3.16,,,
ES 60 (27),AG,27,m/s,,,,,,,0,0.7,0.71,0.72,0.79,0.88,0.9,1.04,1.13,1.24,1.32,1.5,1.62,1.83,2.02,2.17,2.4,2.6,2.9,3.31,,,,,,,
Falcon (31.6),IDA,31.6,m/s,,,,,,,0.65,0.6,0.6,0.63,0.64,0.67,0.69,0.74,0.8,0.86,0.92,0.98,1.07,1.17,1.28,1.4,1.52,1.66,1.81,1.98,2.16,,,,,,
G-102 3B (27.6),IDA,27.6,m/s,,,,,,,,0.7,0.68,0.7,0.74,0.8,0.86,0.95,1.03,1.12,1.23,1.34,1.47,1.59,1.72,1.85,2,2.14,2.29,2.46,2.64,2.84,3.06,,,,
H.304/17 (35.2),IDA,35.2,m/s,,,,,,,,0.56,0.53,0.54,0.55,0.58,0.62,0.66,0.7,0.77,0.84,0.93,1.02,1.11,1.2,1.31,1.41,1.5,1.6,1.71,1.82,1.93,2.05,2.17,2.3,2.43,
H-304 (35.8),IDA,35.8,m/s,,,,,,,0.72,0.65,0.64,0.63,0.62,0.65,0.68,0.72,0.77,0.83,0.88,0.96,1.02,1.1,1.19,1.29,1.4,1.52,1.65,1.78,1.9,2.04,2.2,2.35,2.49,,
Hornet C (32.3),IDA,32.3,m/s,,,,,,,,0.64,0.63,0.64,0.66,0.69,0.73,0.78,0.85,0.93,1.02,1.12,1.22,1.34,1.47,1.6,1.75,1.89,2.05,2.2,2.38,2.55,2.73,2.93,3.14,3.33,
Hornet H-206 (32.05),IDA,32.05,m/s,,,,,,,,0.66,0.64,0.66,0.68,0.71,0.75,0.82,0.88,0.95,1.04,1.12,1.23,1.33,1.45,1.56,1.7,1.83,1.98,2.14,2.3,2.49,2.67,2.86,3.07,,
Hornet H-206 (32.05),IDA,32.05,knots,,,,,,,0,1.28,1.25,1.28,1.32,1.36,1.44,1.59,1.7,1.81,2,2.15,2.38,2.57,2.8,3.02,3.29,3.51,3.82,4.12,4.42,4.8,5.14,5.52,5.93,,
Jantar 2 (33.5),IDA,33.5,knots,,,,,,,0,1.44,1.32,1.32,1.32,1.36,1.44,1.51,1.59,1.74,1.89,2.08,2.23,2.38,2.61,2.8,3.02,3.21,3.48,3.7,4,4.34,4.65,4.99,5.33,,
Jantar 2B (33.2),IDA,33.2,m/s,,,,,,,,0.52,0.51,0.51,0.54,0.56,0.59,0.63,0.68,0.73,0.8,0.87,0.95,1.04,1.15,1.26,1.38,1.49,1.62,1.74,1.88,2.02,2.17,,,,
Jantar Std  (33.5),IDA,33.5,m/s,,,,,,,,0.75,0.68,0.68,0.68,0.71,0.75,0.78,0.83,0.9,0.99,1.07,1.15,1.24,1.35,1.46,1.56,1.67,1.8,1.92,2.08,2.25,2.41,2.59,2.76,2.94,
Jantar SZD.41A (30.9),IDA,30.9,m/s,,,,,,,0.75,0.62,0.62,0.63,0.65,0.69,0.74,0.8,0.85,0.9,1.02,1.1,1.21,1.31,1.43,1.54,1.68,1.82,1.95,2.1,2.2,2.41,2.57,2.74,2.92,3.1,
Janus (31.1),IDA,31.1,m/s,,,,,,,,0.7,0.69,0.67,0.68,0.69,0.72,0.77,0.81,0.87,0.93,1.04,1.1,1.19,1.29,1.35,1.46,1.56,1.65,1.82,1.91,2.08,2.23,2.39,2.51,2.7,
Jeans Astir  (29.68),IDA,29.68,m/s,,,,,,,0.74,0.74,0.73,0.75,0.77,0.81,0.86,0.92,0.99,1.07,1.17,1.27,1.39,1.52,1.65,1.78,1.92,2.07,2.23,2.4,2.58,2.78,3.01,3.27,,,
K 21 (31.3),MD,31.3,m/s,,,,,,,1,0.75,0.74,0.74,0.75,0.8,0.85,0.9,0.95,1.03,1.12,1.23,1.35,1.47,1.6,1.72,1.85,2.02,2.21,2.4,2.6,2.8,3,3.2,3.5,,
K 23 (26.8),MD,26.8,m/s,,,,,,,0.69,0.66,0.68,0.7,0.72,0.77,0.83,0.9,0.99,1.09,1.2,1.33,1.45,1.58,1.7,1.83,2,2.19,2.4,2.6,2.8,3,3.2,3.4,,,
Ka 10 (24.58),IDA,24.58,m/s,,,,,,0.78,0.7,0.71,0.73,0.78,0.85,0.94,1.02,1.15,1.29,1.43,1.59,1.77,1.93,,,,,,,,,,,,,,
Ka 6b R/S  (22.2),IDA,22.2,m/s,,,,,,0.65,0.67,0.71,0.76,0.81,0.88,0.97,1.07,1.18,1.3,1.43,1.57,1.75,1.94,2.14,2.35,2.58,2.81,3.09,3.34,3.63,3.94,4.3,4.62,,,,
Ka 6cr (22.2),IDA,22.2,m/s,,,,,,0.69,0.7,0.72,0.78,0.84,0.91,1.01,1.12,1.23,1.39,1.52,1.69,1.87,2.07,2.3,2.52,2.77,3.04,3.31,3.64,3.94,4.26,,,,,,
Ka 6cr (22.2),IDA,22.2,m/s,,,,,,,0.7,0.72,0.78,0.84,0.91,1.01,1.12,1.23,1.39,1.52,1.69,1.87,2.07,2.3,2.52,2.77,3.04,3.31,3.64,3.94,,,,,,,
Ka 7 (26.6),IDA,26.6,m/s,,,,,,0.86,0.88,0.91,0.94,0.97,1,1.05,1.12,1.2,1.33,1.48,1.64,1.8,2,2.16,2.38,2.6,2.84,3.13,3.45,3.76,4.12,4.55,4.9,,,,
Ka 8 (19.8),IDA,19.8,m/s,,,,,0.7,0.74,0.8,0.86,0.95,1.04,1.14,1.26,1.39,1.57,1.75,1.97,2.22,2.48,2.74,3.03,3.33,3.65,4,4.32,,,,,,,,,
Kestrel   H.401 (31.7),IDA,31.7,m/s,,,,,,,,0.61,0.59,0.58,0.59,0.62,0.64,0.7,0.76,0.81,0.9,0.98,1.05,1.12,1.19,1.26,1.39,1.48,1.59,1.71,1.85,2.01,2.22,2.42,,,
Kestrel 19 T.59D (33.4),IDA,33.4,m/s,,,,,,,,0.6,0.57,0.57,0.58,0.6,0.63,0.68,0.74,0.8,0.86,0.93,1.01,1.1,1.19,1.3,1.4,1.51,1.64,1.75,1.88,2.03,2.18,2.36,2.57,2.85,
Kestrel 22 H.604 (35.8),IDA,35.8,m/s,,,,,,,0.64,0.58,0.53,0.53,0.53,0.54,0.57,0.6,0.65,0.7,0.75,0.81,0.87,0.94,1.02,1.09,1.18,1.28,1.37,1.48,1.6,1.74,1.87,2.04,2.23,2.44,2.7
